X1,X2,X3
4.24911,5.97267,5.61236
5.93591,5.12236,4.53999
5.03413,4.26275,4.03207
4.46708,5.84984,5.54629
4.38576,4.13411,4.81814
4.53040,4.39837,5.73529
5.05878,5.12576,5.54620
4.47929,5.34919,4.91134
4.76074,4.96143,5.52977
5.62663,4.35139,5.34721
4.84307,4.41117,5.60935
5.57116,5.14689,5.53384
5.42440,5.34438,5.05041
5.82654,4.61914,4.61180
4.29521,4.52243,5.60639
12.66647,11.47370,11.81848
11.70064,12.62968,12.08543
11.61627,11.61616,12.00962
11.13321,11.77310,11.58819
12.68093,12.53648,12.17174
12.88613,11.29293,11.08059
12.71395,12.62043,12.68414
12.50186,12.54112,11.47183
12.77376,12.03863,12.62283
12.06866,11.91348,12.72697
12.30389,11.44347,12.22953
11.74575,12.11027,12.51969
12.59338,12.86899,12.05992
12.40309,12.25318,11.02840
12.56506,12.23846,11.62416
12.70352,12.51343,12.80905
12.94731,12.77289,11.89817
12.05967,11.48888,11.86415
11.42481,11.89931,11.79979
11.50406,12.38513,11.24486
12.29106,11.51231,12.46378
12.05272,11.57604,12.55187
11.29483,12.48872,11.64194
11.74419,12.28190,12.07626
12.53281,11.05854,12.62781
12.16329,11.63428,11.33285
11.73958,12.90998,11.86620
12.34892,11.77701,11.25104
11.18714,12.45370,12.22089
12.62731,11.70776,11.94521
12.02865,12.20299,11.72589
11.94577,11.08303,11.64790
11.23361,12.15479,11.31105
12.38573,12.81788,12.51512
11.20167,11.16288,11.30227
12.78992,12.33007,12.20747
12.60425,11.72062,12.76821
12.79755,12.56057,11.59967
12.48413,11.23029,11.06887
12.42846,11.43997,11.03059
11.18383,12.13320,12.41648
12.51940,11.36369,11.05879
11.05547,11.07846,12.48625
12.97347,12.98433,12.61104
12.03379,12.56383,11.02464
12.75031,12.17821,11.34840
12.76063,12.08989,12.32001
11.02308,11.89268,11.75660
11.20745,11.42797,12.77071
12.61486,11.63461,12.96229
11.86394,11.67901,12.28086
12.36609,11.18795,12.60547
12.17239,11.66462,12.49125
12.84170,12.66089,11.84656
11.24427,12.26807,12.77893
12.50958,12.40992,12.18034
12.81689,12.58288,11.26140
12.13531,12.59482,12.37979
12.76141,12.61244,11.60732
12.45398,11.16218,11.85832
12.52277,11.94114,11.58560
11.66824,11.95828,12.19727
12.49180,12.05011,12.17198
11.17203,11.05183,12.83358
12.47644,11.49901,11.73162
12.86204,11.83020,12.77410
12.80635,12.77248,12.04371
12.97459,12.83997,12.77693
11.67861,12.92002,11.70923
11.05554,11.77617,12.84055
12.15157,12.76354,11.88245
11.57775,11.61974,11.89018
11.24636,11.77864,11.96104
12.15127,12.40225,11.21501
12.22664,11.80238,11.63623
11.12814,12.27321,12.76667
11.45963,11.81599,11.33617
12.44288,11.07809,11.12930
12.27754,11.05836,11.81222
12.39767,11.62591,11.58186
12.68632,11.51760,12.76645
11.12415,11.01706,11.44976
12.17063,12.85763,12.74133
12.55484,11.65626,11.19525
12.80656,11.35456,12.67044
12.03350,11.77230,12.20548
11.85549,11.04800,12.05281
12.88280,12.68524,12.65660
11.19007,12.06458,12.73214
12.72856,11.46449,12.21938
11.27787,12.63465,12.12547
11.62779,12.19777,12.58531
12.97201,12.53755,12.11056
12.89163,11.31306,12.01981
12.56716,11.18256,12.66696
12.51817,12.83492,12.86101
12.07663,12.10448,12.32903
11.56118,11.62856,11.29214
11.90692,11.97919,12.06113
11.00442,11.39531,12.29383
11.59812,11.82120,11.24384
12.02591,12.50596,11.47361
11.08412,12.08520,12.95448
11.02110,11.92913,12.92667
11.59429,11.74458,12.87350
12.06407,12.24130,11.75873
12.30728,11.74234,11.59367
12.05924,12.47601,11.94625
12.55177,12.01396,11.84433
11.67752,11.53693,11.77812
18.00869,20.56621,20.79880
20.19965,18.80501,19.94724
18.11857,21.37233,19.20703
19.40171,18.56792,21.55862
20.49589,19.62893,19.95154
18.87035,18.03549,20.05577
18.66155,20.27834,20.30259
21.33064,19.97076,20.95255
18.33094,21.38329,19.52822
18.90628,21.51537,20.87334
21.82595,18.94561,18.13229
19.62100,20.36135,20.57869
20.41614,19.57893,20.54242
20.07516,21.23749,21.74543
18.45994,19.63152,19.66829
20.52152,21.26831,21.32158
21.43926,19.80378,21.70160
19.84768,21.18222,20.98338
20.51831,20.06888,21.88617
20.44982,18.22977,21.52826
19.26917,21.20608,20.92308
19.45278,19.56210,19.42708
18.85875,19.63913,19.85934
18.74463,18.25166,20.70707
19.42308,19.77058,18.96510
20.49410,21.96526,19.51365
20.86249,19.79879,18.26447
21.77831,18.34900,20.31224
19.53709,18.16844,19.77068
19.57540,19.35426,21.49511
20.10120,21.18697,20.29290
20.32185,21.63805,21.17541
21.39303,20.31762,21.65661
20.59157,18.19236,21.53151
18.75384,21.01933,20.92669
18.88707,21.05112,18.64061
19.12579,20.40945,18.57959
21.83066,20.41866,21.80707
21.86892,21.31643,20.90045
20.06667,21.51912,19.04964
19.50446,20.20576,19.51647
21.25428,18.06649,19.34980
18.18903,20.70832,19.15880
20.32641,21.17763,18.31384
20.04073,21.19464,20.77840
21.15404,20.35419,18.09488
18.13546,18.97120,20.72372
18.92194,18.99295,21.35158
18.74650,19.97407,20.61301
19.24535,19.63245,21.99389
21.79978,19.48826,20.23032
18.46067,20.88270,18.51047
20.21977,21.00430,19.53083
18.25353,20.30303,18.57926
18.06986,18.60798,19.87255
21.97342,21.96878,18.03851
19.76559,19.78784,19.16388
21.38414,18.29713,19.75165
20.20710,20.37139,19.57825
19.57338,21.19748,19.24531
20.96654,21.17637,20.99979
21.45706,20.50675,21.55215
21.05948,20.79285,20.41175
21.31003,19.89033,19.67886
21.04998,19.90232,18.11248
20.42868,19.30701,20.64869
19.76347,21.27894,19.94393
18.90619,19.05405,20.36880
19.40870,21.48214,18.38895
18.00430,20.14731,18.38976
21.15287,18.40449,20.24726
21.73600,21.11900,18.19621
21.53282,19.67175,20.86842
18.99672,21.49889,21.28284
19.30487,19.76923,21.93926
19.01694,20.78956,20.23268
19.23056,18.43727,19.19249
20.30577,21.96678,21.77380
18.91150,21.58430,19.59747
20.17404,21.83392,21.48403
18.65235,18.10732,21.00382
18.54319,21.60296,21.48189
18.74357,20.18646,20.30759
19.76219,20.47666,20.34255
20.75264,21.98861,21.52604
21.01523,18.25823,19.95396
21.88583,20.19827,21.32583
19.15850,18.68318,18.78620
18.37575,19.91151,19.39797
20.73312,20.90555,21.44512
19.51330,20.81147,19.81222
18.38726,20.57699,18.35442
20.22410,21.56712,21.96487
20.59141,21.92474,19.84130
19.82463,21.36054,19.80598
21.33644,19.13265,19.61073
21.15833,19.97199,18.00395
20.90923,18.44348,21.31128
21.39975,20.69702,18.97694
19.23085,20.26645,18.14646
21.74256,19.65372,21.99753
21.72781,19.47722,20.85972
21.49563,21.58050,20.64459
18.56664,19.72524,19.99776
21.68421,19.54704,19.41115
21.33645,20.84873,18.39187
19.03481,21.09537,21.65256
20.48844,19.44527,18.70755
18.81210,19.70992,20.90310
20.30889,20.28657,20.32376
6.14967,5.12834,31.06995
6.61404,3.52607,29.47896
3.20689,6.23713,31.48159
4.91093,4.99242,31.44485
6.01570,4.03605,31.38001
6.18632,4.90861,30.04370
4.99332,3.46776,28.12538
4.20952,5.17995,31.11318
3.51865,4.69609,30.42359
3.31024,5.64357,29.19633
3.45189,3.08047,29.72780
5.10789,3.76168,28.04606
3.17800,5.50988,28.28429
6.20723,4.00399,30.15690
3.24487,4.94955,28.44952
6.90681,4.38477,31.04529
4.38264,5.76775,31.10727
6.01678,3.64286,29.38811
6.89857,6.96286,31.21564
4.63050,6.06602,29.86624
3.46493,3.14788,29.13488
6.53023,5.24562,28.87738
4.74732,5.80445,31.96879
5.33831,3.03135,28.92567
5.82503,5.91432,31.17540
5.40001,5.09341,30.87383
6.86792,6.98535,30.69856
3.72433,4.95224,31.33515
3.05980,4.12920,30.64046
3.15254,6.35655,31.91652
5.47948,4.31006,31.87374
5.85688,5.05009,29.61121
3.88981,3.73597,31.93860
6.70075,5.05213,28.26704
3.87111,6.94623,30.95932
3.34806,5.72654,30.60047
4.83254,3.33227,29.72685
4.77024,6.78174,29.03921
6.46087,5.08411,31.23282
5.28728,5.76869,31.51349
6.50250,5.06248,28.93709
6.17692,5.63845,28.47543
5.31646,5.84163,28.46498
6.14462,5.29817,31.23936
5.04397,3.22282,29.67442
3.38421,6.36227,29.90260
5.33334,3.93591,28.51424
3.74705,5.20076,29.99036
6.49784,5.30876,31.96708
4.25648,4.18177,31.74005
3.74148,5.49552,31.07493
4.24387,3.57906,29.57926
4.05078,6.46223,29.77187
5.72032,4.48316,29.22864
4.47367,4.42286,31.43641
3.67262,5.08979,31.88715
6.04294,3.34952,30.93873
3.03821,5.78665,29.19834
3.15036,6.15200,31.65489
4.43581,6.63351,30.80310
6.36523,5.69649,29.03707
4.90755,3.45294,30.48597
6.08489,4.60868,29.32038
6.19095,5.14747,30.11801
6.15442,4.84755,31.82791
5.57018,5.69540,28.15103
4.88331,5.66914,30.90390
6.08566,4.90996,28.19340
5.02713,6.68569,29.31811
4.93885,3.61522,28.53918
5.65691,5.64089,30.77814
4.02228,6.89267,31.68526
5.29739,3.66356,30.17502
4.48633,3.51317,30.51508
6.75783,5.45471,28.85407
6.27597,5.76531,31.38321
4.61684,4.49366,31.84330
4.22532,6.96340,30.04490
3.47363,3.70422,31.16182
4.26687,5.81315,31.24609
5.69552,6.03949,28.81633
6.87720,6.84230,28.34868
5.80612,4.18858,28.97190
4.11499,4.66161,28.10264
5.93992,3.49520,31.02992
6.96435,6.49853,31.35554
3.80819,3.54658,28.78428
5.22355,3.75340,30.76527
3.14393,4.48116,31.36901
6.57578,3.38931,30.19317
3.42981,3.64377,28.60447
4.81605,4.27734,29.40753
4.81173,6.21274,31.68252
6.77296,6.36612,30.12024
5.67031,6.72548,28.74058
3.50866,3.27475,31.60524
5.50548,6.17706,28.29499
3.95673,5.58107,31.02936
5.75506,3.67690,28.47727
4.18636,4.20320,28.90430
4.90479,6.84056,30.69832
3.78578,4.19602,30.63074
3.97755,6.83598,29.05970
6.85002,4.11508,28.19653
6.60514,5.78908,31.61476
4.14716,4.90325,28.58216
4.92845,5.21665,30.03244
4.54803,6.89941,31.95234
4.07173,3.19308,30.93154
4.60629,3.52011,31.79633
