XX,YY
9.051,8.711
10.185,9.589
11.707,8.941
8.547,8.480
9.095,9.552
7.661,7.904
10.892,11.880
9.734,8.733
8.968,10.919
7.794,10.252
9.005,8.926
8.753,11.946
11.796,11.820
8.642,8.953
9.773,11.577
11.982,11.691
8.514,11.521
9.544,11.449
9.437,10.379
11.284,8.304
8.403,7.844
10.254,10.531
8.515,8.048
12.232,10.957
10.159,11.919
7.910,7.740
9.730,9.687
7.590,8.018
7.953,10.051
8.080,8.873
8.805,8.213
7.714,9.985
9.319,8.025
10.753,9.331
8.844,10.960
12.125,9.612
12.275,8.384
9.176,11.941
9.067,11.108
7.636,9.422
11.117,7.693
10.000,8.721
11.906,11.803
10.704,10.215
10.251,7.702
9.778,10.847
8.628,11.691
11.901,9.352
8.965,11.942
11.574,8.472
9.678,10.730
9.835,11.284
9.703,11.104
9.348,9.821
10.081,11.348
11.070,12.414
10.533,11.648
9.872,11.115
11.061,9.100
10.905,12.176
9.244,8.075
9.425,9.963
9.613,12.291
10.155,11.038
11.437,8.801
11.910,9.963
10.132,8.661
7.540,9.159
8.842,9.213
11.646,8.793
10.163,9.014
11.795,9.692
9.245,12.499
8.551,12.451
12.101,9.470
10.244,8.561
10.866,10.269
9.618,9.674
11.961,12.386
7.812,11.367
9.563,8.292
8.420,8.036
10.532,7.541
12.337,8.323
11.770,9.576
9.554,12.339
10.020,9.392
9.587,8.319
11.029,12.142
9.745,7.636
9.801,10.944
8.329,8.534
11.162,10.402
8.443,9.418
10.799,10.948
9.214,8.104
12.135,12.096
11.474,9.619
7.547,11.825
9.663,10.831
9.103,8.849
11.653,11.589
10.698,20.866
9.925,18.999
10.587,22.056
8.771,21.937
10.487,20.714
11.178,20.662
11.578,21.266
9.795,21.692
11.153,17.603
9.452,18.096
11.528,19.924
10.920,20.994
11.002,18.752
11.134,21.983
9.556,19.745
7.612,21.703
9.472,18.310
12.307,19.638
10.230,21.347
7.759,21.038
8.247,20.788
9.458,17.887
10.532,20.317
9.929,19.372
12.300,20.518
9.572,19.267
8.451,19.020
10.124,20.757
8.839,19.001
8.600,20.817
9.350,19.817
10.134,19.391
9.774,22.190
8.952,20.813
11.302,21.768
11.478,20.210
8.004,19.752
10.573,21.818
9.576,22.490
10.746,22.122
8.088,22.075
11.347,21.942
10.056,19.734
12.459,19.303
10.423,17.707
8.870,21.590
10.154,18.051
7.827,18.173
10.006,19.739
10.614,20.051
10.711,20.884
11.599,21.138
10.154,21.276
11.784,22.086
12.162,17.616
11.400,20.429
8.633,18.099
11.891,17.662
12.257,18.683
11.007,21.993
10.054,18.876
8.933,18.413
10.462,20.525
12.141,18.156
8.512,19.034
10.617,17.996
8.915,18.041
8.064,18.148
9.771,19.706
7.928,19.151
11.842,20.880
7.899,22.420
9.827,18.544
9.562,21.908
12.242,18.128
11.125,19.728
8.420,18.006
11.597,20.998
9.215,21.625
11.332,21.922
10.758,17.985
8.585,18.322
8.266,18.259
10.476,22.373
9.213,19.290
9.072,17.538
10.578,17.639
10.018,19.969
11.361,17.588
8.083,22.373
8.098,20.156
12.064,20.353
7.671,21.782
8.153,20.974
9.216,22.424
8.969,17.728
7.888,19.228
9.934,18.649
8.151,18.111
8.447,19.268
10.147,20.651
7.574,17.507
10.310,20.532
9.526,21.947
12.334,21.845
8.710,22.285
11.865,21.917
7.893,21.724
10.457,20.651
9.022,20.614
9.085,18.926
12.245,18.966
10.052,17.950
9.881,19.345
10.146,20.207
8.484,22.379
7.521,18.930
9.095,22.476
8.499,22.499
7.976,18.640
7.927,18.058
7.982,19.943
12.248,19.141
9.516,20.691
9.475,19.623
10.507,19.196
11.045,19.136
9.157,22.351
10.352,19.904
11.226,20.884
9.456,18.564
7.748,19.409
10.363,18.926
7.835,17.505
10.041,19.198
8.803,18.386
9.363,19.153
7.640,21.485
9.592,21.276
10.938,17.739
8.717,21.260
8.356,17.878
10.108,20.594
11.566,20.185
9.960,22.380
9.195,19.618
9.299,18.209
8.117,18.211
11.845,18.221
12.178,21.655
9.918,21.372
11.960,17.827
9.768,20.303
9.970,17.622
8.716,20.657
8.107,17.759
8.210,20.900
8.637,21.597
7.908,17.635
11.490,17.517
7.783,21.182
12.078,18.605
11.353,21.203
9.890,20.226
9.314,21.640
11.072,22.299
7.767,21.390
9.386,20.115
8.592,21.517
10.835,22.140
7.674,18.036
9.791,18.340
9.072,21.008
10.587,17.994
8.163,21.107
10.812,19.223
7.983,22.472
11.740,21.508
8.496,19.153
10.078,20.126
8.634,19.515
11.693,19.465
9.630,22.139
8.880,21.418
11.678,22.428
11.700,21.925
9.904,17.603
10.790,18.687
12.129,18.412
11.792,18.341
11.797,19.895
9.679,21.702
7.685,18.053
12.285,22.046
9.452,20.088
9.756,17.776
12.213,18.492
8.473,19.208
9.332,18.807
8.417,22.232
9.796,18.606
11.052,18.755
10.631,18.062
10.585,17.573
8.133,18.611
9.385,19.015
11.159,21.627
9.334,18.729
11.479,19.795
7.689,20.468
10.068,20.477
7.915,20.547
11.514,17.739
9.069,21.962
8.896,20.148
10.092,20.474
8.379,17.958
11.802,21.402
12.434,17.767
11.448,20.834
8.969,21.653
10.647,18.497
11.112,18.195
10.651,21.078
10.574,17.901
9.722,17.882
9.943,22.473
10.902,18.093
11.707,20.853
9.873,19.374
10.491,21.435
11.357,20.928
10.893,17.630
8.424,18.689
9.242,19.905
9.726,18.305
9.916,19.681
11.957,18.709
11.728,21.496
12.012,19.084
12.171,19.518
10.217,20.498
9.763,19.311
11.956,17.549
11.913,20.913
9.595,21.798
9.364,20.820
8.704,21.913
10.790,20.371
11.714,21.738
10.582,21.111
12.376,19.204
9.094,18.450
7.726,18.108
7.830,21.685
9.125,19.860
10.809,18.859
7.949,19.476
7.695,19.181
9.449,19.754
9.534,19.880
8.623,22.386
11.856,22.409
8.609,18.061
8.146,20.013
11.075,18.063
10.638,22.467
8.019,20.379
11.492,22.384
7.654,19.852
18.135,10.955
22.042,11.098
18.671,8.818
18.717,11.091
19.693,12.472
17.504,12.433
20.369,8.132
20.589,10.300
20.545,10.989
20.820,9.075
17.656,10.518
21.586,12.416
20.164,10.880
22.088,9.154
21.801,10.866
19.990,8.030
17.608,9.689
19.498,11.557
22.284,11.986
18.638,11.632
18.947,8.921
18.211,11.790
19.581,11.820
19.372,8.642
21.252,8.427
19.485,9.272
21.348,10.774
20.830,9.282
21.095,8.067
17.966,10.011
20.871,9.756
19.371,10.285
19.120,11.776
22.062,10.611
18.503,9.862
19.057,11.307
20.520,7.902
19.937,11.494
18.757,8.354
17.629,9.084
18.655,8.062
22.113,9.126
19.326,7.831
19.082,11.331
21.673,12.341
20.162,9.344
19.743,8.306
19.992,12.372
19.834,10.169
20.317,10.008
21.265,12.001
21.310,9.301
20.988,10.111
18.078,9.671
17.876,8.186
20.922,8.387
18.430,10.753
21.334,11.256
17.697,11.270
17.711,10.495
19.263,8.788
19.368,11.682
18.677,9.640
20.524,9.522
22.149,10.971
21.685,7.935
19.079,7.824
21.283,11.518
19.471,11.095
19.437,10.403
22.251,9.400
19.432,8.674
18.974,10.723
18.006,10.864
17.820,8.197
20.351,10.407
17.827,9.369
22.186,11.128
21.975,11.614
18.608,8.367
18.377,8.856
19.810,7.554
21.412,11.134
19.360,12.100
18.319,11.222
21.126,7.820
21.288,9.655
19.028,9.628
20.933,9.664
22.156,8.621
19.710,8.595
18.660,9.280
20.162,10.214
17.864,7.891
19.343,11.821
20.861,9.676
17.508,8.025
17.639,10.491
22.367,9.805
18.840,11.776
17.760,11.906
21.780,11.811
18.328,8.495
19.785,7.994
17.800,10.059
17.868,10.219
21.910,7.958
22.042,10.625
20.405,11.878
21.309,10.777
19.752,10.626
17.918,10.384
19.989,10.662
20.885,9.809
19.162,11.952
21.475,10.367
18.494,11.761
19.593,9.735
17.504,9.042
22.152,12.090
21.264,9.888
22.009,8.803
21.216,8.767
18.117,11.928
19.682,11.329
18.727,10.556
21.240,8.497
19.401,9.357
19.587,10.948
20.444,11.398
18.832,10.129
17.723,8.390
21.401,10.807
19.469,11.343
21.420,9.568
18.855,7.681
22.191,8.671
21.265,7.993
18.324,9.964
19.573,11.422
18.934,11.361
17.891,8.977
20.338,11.397
19.008,11.412
21.447,12.021
18.753,10.938
19.798,12.427
18.914,12.284
18.561,10.133
19.804,12.169
19.740,9.559
21.251,7.928
20.487,11.266
19.685,12.125
19.151,12.261
19.101,8.209
18.144,11.788
22.194,9.878
19.039,10.581
19.527,7.694
17.949,7.896
19.748,10.510
17.762,12.364
20.666,10.269
20.160,7.932
22.284,9.340
17.821,10.548
22.340,12.440
19.090,10.590
19.587,9.185
18.092,10.957
17.744,10.935
22.322,11.755
20.124,12.279
19.098,12.119
22.261,10.199
22.294,8.441
19.391,8.442
19.705,9.486
22.152,10.314
21.401,9.112
21.155,8.666
21.511,8.693
19.523,9.762
20.917,10.250
22.018,7.603
20.884,11.999
21.618,12.406
18.960,9.157
21.093,10.636
19.574,11.763
19.443,10.168
22.323,10.925
21.752,12.390
20.255,12.488
18.888,10.929
17.915,7.959
20.822,10.643
19.819,10.088
18.838,12.035
20.316,11.717
18.414,11.492
18.802,10.918
18.124,9.666
17.587,10.920
19.303,8.411
20.643,8.107
19.184,10.543
22.063,9.280
21.280,8.253
19.873,12.189
18.853,10.441
20.297,10.474
18.371,7.547
21.904,12.334
17.999,8.090
18.202,12.491
19.673,8.740
17.618,8.957
22.441,11.856
18.814,9.620
19.177,7.554
21.951,7.938
17.945,8.030
21.939,8.418
21.890,8.095
21.312,10.474
21.180,11.725
19.939,12.417
19.730,9.432
21.876,10.055
22.234,8.413
19.699,10.180
17.937,12.372
20.128,7.532
18.151,8.396
21.750,11.819
20.662,9.192
22.351,8.790
21.698,11.695
18.559,9.047
18.292,11.106
18.654,7.518
20.575,11.828
18.706,8.191
19.617,8.575
19.199,7.959
21.164,12.426
19.466,8.594
19.369,12.346
21.260,9.116
19.862,8.428
21.690,11.584
18.787,9.527
18.225,8.136
22.103,10.162
19.500,9.657
21.961,9.491
19.818,10.634
21.309,9.929
21.094,9.725
21.695,11.011
19.727,7.703
21.838,10.201
18.790,9.976
20.085,11.778
22.404,9.969
21.787,10.492
20.385,9.872
18.044,8.350
20.611,18.472
21.661,21.576
20.996,19.142
20.988,19.011
20.749,22.212
17.636,20.642
19.429,21.373
18.057,21.423
19.955,18.268
18.487,18.786
18.985,19.687
19.800,19.381
18.454,18.673
21.440,21.714
19.738,20.084
17.820,20.682
21.182,19.124
18.144,22.178
21.816,18.956
18.529,17.768
19.077,18.557
21.320,20.976
17.809,18.457
19.311,21.168
21.932,18.393
19.642,22.159
22.447,20.317
18.418,18.534
21.755,21.830
18.159,21.807
18.436,21.934
22.299,18.844
21.946,18.280
22.358,17.587
19.751,20.113
18.374,19.818
17.872,19.364
18.311,19.120
21.515,17.507
21.295,18.413
17.559,19.302
19.719,22.462
18.646,21.880
20.574,20.212
17.543,20.650
17.548,21.906
17.521,18.729
17.979,21.441
18.403,19.173
18.156,21.561
18.984,17.660
18.789,22.098
21.843,17.608
21.828,21.779
21.513,21.265
18.167,20.874
18.865,19.695
20.481,21.319
22.252,18.492
21.585,20.945
21.464,22.215
19.082,20.799
19.374,22.359
21.041,17.786
19.293,22.356
18.485,20.315
19.111,21.858
22.070,22.321
18.562,18.612
18.965,18.141
18.812,17.813
19.187,18.940
18.161,17.646
21.853,18.720
19.312,18.267
20.691,21.757
18.430,20.750
20.474,21.809
19.517,21.531
21.543,19.452
21.628,19.003
18.126,19.939
19.913,20.675
18.799,20.633
17.759,22.055
19.313,21.224
19.652,22.430
19.790,21.585
20.186,22.123
21.652,21.854
20.983,18.797
18.467,18.022
22.101,18.427
19.263,18.135
20.457,22.286
19.471,20.358
19.237,18.894
17.780,17.504
19.237,21.704
21.649,20.888
18.379,20.017
18.235,22.104
21.499,21.952
19.729,21.471
22.149,18.357
21.042,17.531
20.403,17.726
17.618,21.568
19.736,18.365
20.967,20.905
21.978,21.956
20.888,20.223
19.779,19.094
18.703,20.458
19.210,20.596
18.236,18.622
21.481,19.439
19.318,21.568
21.086,21.564
19.178,21.787
20.959,17.718
20.343,19.038
18.555,18.840
22.224,21.656
21.258,21.792
21.995,22.207
21.542,21.458
22.200,19.089
19.927,21.979
19.613,20.251
20.639,20.565
19.132,20.104
21.621,17.767
22.378,20.306
20.953,19.852
20.197,17.661
19.856,18.362
19.112,17.767
20.409,19.667
17.690,20.843
17.665,17.502
18.407,21.081
19.408,20.132
21.321,18.870
21.959,17.563
20.384,17.904
20.162,21.508
18.868,20.504
19.821,20.925
21.364,18.351
20.736,19.178
19.040,19.287
20.024,20.892
21.994,18.938
21.792,21.907
19.335,20.887
22.389,20.376
20.097,17.648
20.953,19.504
19.425,22.464
21.890,18.109
19.173,19.355
18.222,19.373
18.010,19.192
19.154,18.552
22.286,19.568
18.947,18.796
21.418,17.979
19.917,18.528
20.931,17.865
19.550,21.463
19.840,20.502
19.099,22.335
19.971,18.682
18.678,18.995
20.055,19.039
18.901,22.002
20.887,21.989
18.072,18.609
18.676,20.409
22.079,19.246
19.892,21.415
17.543,19.101
21.957,18.135
18.882,21.772
21.688,22.097
17.783,21.814
19.706,18.803
19.007,20.011
21.694,17.643
20.362,18.463
21.077,20.075
21.173,19.807
20.826,22.320
22.385,17.880
19.702,19.134
20.447,19.877
19.643,19.072
17.765,17.628
19.890,22.078
21.018,20.787
18.079,22.145
20.584,21.490
21.728,21.368
19.415,18.773
21.042,19.231
18.309,21.326
18.953,22.370
19.406,18.030
18.334,21.688
20.115,22.371
22.467,20.070
20.727,21.630
20.120,18.269
19.441,21.394
22.245,20.954
18.365,18.309
20.732,17.585
18.222,18.914
20.751,19.766
22.397,18.103
20.752,17.863
19.954,19.725
17.804,20.863
21.447,21.384
21.281,21.427
20.218,18.891
21.287,18.563
22.121,20.425
19.147,19.539
21.941,18.554
19.919,21.595
17.610,17.925
17.662,18.706
18.319,18.028
20.804,19.352
18.224,18.721
19.721,19.281
21.605,22.314
20.276,22.153
19.060,19.573
21.586,19.835
20.930,21.081
19.350,20.434
18.605,19.308
21.771,20.946
21.960,19.243
19.051,21.531
22.083,19.889
18.266,18.180
18.524,22.144
19.468,21.010
17.956,21.524
17.671,19.635
18.906,20.749
18.029,22.081
21.433,20.266
18.190,20.608
20.951,18.599
19.052,21.534
19.973,18.755
21.128,18.656
17.976,21.365
19.320,19.318
19.097,22.468
18.551,18.874
21.929,17.770
22.353,22.202
19.878,21.625
17.632,17.590
8.265,30.264
10.210,29.596
10.017,30.608
11.750,29.230
10.963,31.130
7.739,29.732
10.536,31.924
10.596,27.620
8.869,30.959
11.452,30.404
8.211,28.050
11.861,27.892
9.769,32.299
12.077,31.936
10.774,28.004
7.633,28.549
7.901,32.317
9.728,28.310
8.108,29.607
9.758,29.756
8.677,30.418
10.515,29.062
7.704,32.395
7.710,28.998
8.240,29.189
12.363,30.753
12.306,29.199
10.452,28.134
8.850,32.423
11.243,31.488
9.570,32.444
9.588,29.611
9.283,32.148
10.936,29.473
10.084,29.269
10.514,31.078
11.846,28.566
9.246,27.938
10.701,27.674
11.013,29.174
8.630,31.637
9.934,29.070
9.864,31.548
9.936,30.159
10.083,31.024
10.756,28.837
11.615,32.448
10.338,31.147
7.929,27.943
9.174,29.280
12.386,30.256
11.885,28.941
7.830,32.098
10.782,32.146
11.257,30.009
11.370,30.734
10.073,29.358
9.118,31.690
11.293,27.752
11.078,29.907
11.693,32.298
12.019,31.567
12.188,28.230
10.845,28.277
8.362,31.600
9.831,30.383
10.714,30.056
8.689,31.794
9.063,29.253
7.664,31.061
11.249,29.610
8.890,27.779
8.478,31.615
11.070,30.477
10.978,30.688
10.128,32.135
12.050,32.332
10.879,29.177
11.310,31.523
7.961,28.112
7.970,32.247
8.382,32.174
9.821,29.034
10.149,27.970
8.353,28.082
11.324,28.430
11.928,31.036
8.872,31.099
8.000,27.940
10.593,28.607
7.644,29.094
10.624,27.930
8.473,31.253
12.192,29.348
11.803,31.626
8.388,32.003
9.753,32.035
9.154,28.424
11.726,30.094
7.849,29.151
11.769,27.642
11.318,28.926
12.196,32.317
9.233,27.612
11.362,28.691
9.274,27.917
7.965,32.008
10.953,29.751
8.248,29.449
10.655,30.294
11.312,30.999
8.644,30.826
10.013,27.995
9.414,30.678
10.663,32.242
7.991,28.665
8.245,32.315
9.207,29.842
11.039,28.970
12.123,32.069
11.274,27.741
9.632,32.212
11.180,31.392
10.088,31.794
8.368,29.818
12.255,32.249
8.445,30.860
10.797,27.969
8.852,29.940
12.090,31.623
12.062,27.560
8.578,30.910
7.819,32.466
8.177,29.647
12.256,30.552
9.834,28.483
10.905,29.980
8.803,31.692
7.758,28.721
7.789,31.992
9.254,30.926
8.337,27.923
10.299,31.104
9.147,31.898
9.634,30.135
8.120,31.866
8.765,31.755
10.863,32.461
10.648,29.312
11.449,29.762
7.998,32.237
8.974,32.400
10.589,28.424
11.181,28.803
12.266,29.545
11.398,27.734
10.430,30.268
8.857,28.135
9.132,31.642
7.668,28.986
7.621,29.082
11.377,30.179
9.460,31.358
10.312,28.959
9.167,29.263
8.239,31.914
7.570,32.363
9.047,30.941
11.357,29.160
10.238,28.598
7.841,32.294
10.341,32.105
8.330,29.762
9.524,28.288
7.672,31.689
9.991,29.881
8.562,30.473
11.688,31.464
11.543,30.891
10.416,31.853
8.472,28.799
11.180,29.040
9.396,30.741
8.323,31.659
8.246,30.695
10.881,32.366
9.234,29.034
10.900,28.157
8.035,28.901
10.294,27.738
12.191,28.748
12.180,29.529
11.096,29.835
8.738,32.080
9.386,32.026
11.349,27.881
8.763,30.794
10.421,29.761
9.345,32.314
10.966,30.182
10.517,28.178
11.255,29.866
10.649,28.735
7.654,28.103
7.800,32.227
10.253,29.345
12.304,30.964
9.076,31.799
11.270,29.283
9.873,30.998
8.187,31.481
11.003,29.207
7.667,32.398
9.401,31.198
10.255,29.578
10.114,29.805
11.617,29.186
10.430,30.421
8.252,30.780
9.806,27.946
10.607,31.894
10.448,28.544
7.973,27.542
9.953,31.773
9.393,28.033
9.323,27.502
9.195,31.524
10.879,28.543
12.073,30.059
11.890,32.239
12.076,32.027
10.293,30.463
12.225,29.441
8.335,27.746
7.811,28.371
10.468,30.768
8.149,28.491
11.910,29.170
9.885,30.850
11.417,29.376
8.559,29.171
9.135,32.038
11.499,30.551
10.671,30.862
9.304,30.225
11.927,30.388
10.695,27.694
7.878,27.629
10.457,29.073
9.263,29.400
9.037,28.984
8.125,32.465
12.268,30.791
12.345,29.902
12.345,31.267
7.776,29.017
10.547,29.629
7.576,30.647
11.668,27.992
9.360,27.713
11.554,28.980
10.956,27.886
10.837,30.149
11.782,29.655
10.196,28.395
12.089,30.467
10.802,31.413
11.475,31.005
9.400,32.439
8.931,31.156
29.258,12.122
28.023,9.076
30.849,12.474
30.178,10.341
29.280,10.193
29.064,10.629
30.478,12.052
31.865,8.425
28.496,10.774
30.561,11.295
28.399,10.593
28.833,9.395
28.305,8.710
29.259,9.945
30.655,8.972
30.584,9.811
29.404,11.792
30.188,10.601
30.917,7.575
29.555,10.438
28.014,10.275
31.392,12.192
28.684,9.959
31.658,11.133
27.800,9.178
29.066,8.609
30.145,7.826
29.193,10.518
31.161,9.472
28.648,11.363
30.360,11.243
27.658,7.686
30.631,9.606
28.547,8.829
31.793,9.226
28.803,7.764
28.017,10.222
30.782,10.314
27.952,9.256
31.918,8.344
29.945,10.211
31.922,8.750
30.731,9.876
28.312,11.238
29.133,9.437
27.870,11.656
32.128,11.685
29.591,11.737
30.547,9.151
28.936,10.840
28.887,10.769
30.671,7.802
31.932,10.969
32.396,9.644
29.011,9.937
28.088,11.772
29.090,11.906
29.505,9.550
28.492,12.152
32.035,10.905
29.215,8.171
29.530,9.307
30.404,9.505
30.784,11.768
31.217,8.355
30.470,9.488
31.761,10.723
31.593,9.407
29.474,12.172
27.684,12.154
31.403,10.859
31.595,11.331
29.170,11.022
31.608,10.568
27.574,11.361
29.648,9.243
30.804,7.562
30.095,10.396
29.638,9.115
30.677,9.185
28.220,8.512
29.540,7.579
31.123,10.482
31.571,7.937
30.043,12.268
29.447,7.655
31.831,8.542
31.494,12.217
27.805,7.970
28.281,9.943
31.920,9.505
31.391,9.965
28.750,9.450
30.437,12.458
30.522,11.884
30.963,11.878
32.398,8.628
29.482,11.534
29.200,10.015
29.525,7.997
32.065,12.014
31.374,9.204
30.174,11.014
30.020,10.433
29.408,8.068
31.913,7.598
28.038,7.785
28.554,12.313
32.337,11.746
29.604,8.042
28.387,11.355
30.252,9.205
31.200,7.586
28.063,12.198
29.125,7.539
27.818,11.049
32.267,9.157
32.311,10.631
28.606,12.387
32.033,7.550
30.634,8.041
30.335,8.774
31.861,8.217
29.045,8.373
28.127,11.128
29.241,11.759
31.851,11.457
28.874,11.922
29.629,11.961
28.793,11.577
30.957,12.405
29.857,8.818
31.658,8.313
31.216,9.245
28.230,9.661
31.970,12.353
28.237,11.364
28.580,9.704
29.787,10.905
29.187,10.991
29.181,11.179
32.179,10.177
29.037,9.749
29.624,12.165
31.290,11.372
28.520,8.958
32.415,11.919
28.771,10.769
28.126,10.955
31.916,7.732
27.608,8.753
29.142,8.632
31.924,10.729
30.975,11.658
29.586,10.410
32.093,9.745
31.245,11.139
31.578,9.673
30.810,8.646
31.145,8.196
31.494,9.276
31.179,7.722
28.100,12.085
29.720,11.501
28.272,8.810
29.240,8.640
28.671,8.728
28.426,11.171
28.653,7.978
27.769,8.261
30.198,7.941
29.110,8.421
30.967,11.632
27.921,10.774
32.379,8.047
29.772,10.910
32.396,9.059
30.245,9.803
32.365,8.820
29.534,11.719
32.400,9.281
28.950,9.153
30.302,12.436
30.685,8.835
27.848,11.030
31.421,10.013
31.397,8.420
31.043,9.978
28.936,9.281
28.753,7.813
28.899,9.454
28.695,12.076
28.563,12.174
30.910,11.101
29.373,9.000
28.250,7.543
32.415,10.609
30.620,10.204
28.319,8.038
29.761,12.395
31.818,11.617
31.204,10.860
29.885,8.484
30.863,10.044
30.925,8.810
31.393,8.366
29.448,8.457
31.667,12.256
30.411,8.520
30.753,10.047
31.364,8.915
31.894,11.332
30.506,10.006
28.225,7.942
31.272,10.465
31.563,9.036
28.605,11.941
27.631,11.237
28.230,8.229
29.010,10.172
32.006,11.351
30.279,7.823
30.773,8.832
30.601,11.067
27.946,10.060
30.223,9.754
29.243,12.485
32.161,9.678
29.364,11.986
28.605,11.073
27.880,10.853
29.723,12.167
31.452,7.982
29.156,9.657
30.188,9.410
30.107,8.598
30.405,9.381
30.487,12.068
31.775,10.982
28.874,7.609
28.282,12.258
27.595,9.069
29.415,8.669
29.086,12.483
31.287,10.606
28.029,10.453
30.587,10.407
30.657,12.330
29.283,7.561
31.041,10.971
31.506,11.397
30.139,10.145
31.170,8.751
31.759,8.958
27.816,10.481
27.887,10.269
29.159,11.081
28.619,9.104
30.653,11.422
29.466,8.670
30.037,8.217
30.548,11.450
31.158,10.902
28.093,11.139
31.732,11.340
27.821,11.236
30.982,10.242
28.693,8.206
30.704,9.161
32.488,8.239
